sentiment_id,feedback_id,sentiment,confidence,model_name
835,835,positive,0.97,distilbert
836,836,positive,0.92,roberta-base
837,837,positive,0.79,roberta-base
838,838,negative,0.85,roberta-base
839,839,positive,0.68,distilbert
840,840,positive,0.82,distilbert
841,841,negative,0.83,bert-base
842,842,positive,0.81,bert-base
843,843,positive,0.86,bert-base
844,844,negative,0.81,bert-base
845,845,positive,0.59,roberta-base
846,846,negative,0.69,distilbert
847,847,positive,0.63,roberta-base
848,848,negative,0.94,roberta-base
849,849,negative,0.59,bert-base
850,850,neutral,0.83,roberta-base
851,851,neutral,0.93,distilbert
852,852,positive,0.73,distilbert
853,853,negative,0.91,roberta-base
854,854,negative,0.62,bert-base
855,855,neutral,0.74,distilbert
856,856,negative,0.61,roberta-base
857,857,negative,0.9,bert-base
858,858,neutral,0.56,distilbert
859,859,neutral,0.75,roberta-base
860,860,neutral,0.6,distilbert
861,861,neutral,0.67,roberta-base
862,862,neutral,0.86,distilbert
863,863,negative,0.8,distilbert
864,864,negative,0.87,roberta-base
865,865,neutral,0.8,distilbert
866,866,neutral,0.95,distilbert
867,867,neutral,0.55,bert-base
868,868,negative,0.69,distilbert
869,869,neutral,0.63,bert-base
870,870,neutral,0.51,distilbert
871,871,negative,0.56,distilbert
872,872,neutral,0.94,roberta-base
873,873,neutral,0.58,bert-base
874,874,neutral,0.59,bert-base
875,875,negative,0.81,distilbert
876,876,neutral,0.96,bert-base
877,877,positive,0.98,distilbert
878,878,neutral,0.92,bert-base
879,879,neutral,0.85,distilbert
880,880,positive,0.89,bert-base
881,881,neutral,0.66,roberta-base
882,882,neutral,0.96,bert-base
883,883,negative,0.61,bert-base
884,884,negative,0.58,distilbert
885,885,positive,0.67,roberta-base
886,886,positive,0.86,roberta-base
887,887,neutral,0.78,bert-base
888,888,neutral,0.54,bert-base
889,889,neutral,0.89,bert-base
890,890,positive,0.79,bert-base
891,891,negative,0.74,roberta-base
892,892,neutral,0.94,distilbert
893,893,positive,0.88,bert-base
894,894,positive,0.59,roberta-base
895,895,neutral,0.73,roberta-base
896,896,positive,0.87,roberta-base
897,897,neutral,0.51,roberta-base
898,898,positive,0.66,roberta-base
899,899,neutral,0.64,roberta-base
900,900,positive,0.78,roberta-base
901,901,neutral,0.87,bert-base
902,902,positive,0.81,roberta-base
903,903,neutral,0.89,roberta-base
904,904,neutral,0.8,bert-base
905,905,negative,0.9,roberta-base
906,906,negative,0.88,distilbert
907,907,negative,0.96,bert-base
908,908,neutral,0.61,bert-base
909,909,positive,0.72,roberta-base
910,910,positive,0.56,roberta-base
911,911,positive,0.69,roberta-base
912,912,negative,0.9,roberta-base
913,913,positive,0.84,bert-base
914,914,negative,0.9,distilbert
915,915,positive,0.66,roberta-base
916,916,positive,0.55,bert-base
917,917,positive,0.66,distilbert
918,918,positive,0.82,distilbert
919,919,negative,0.75,distilbert
920,920,negative,0.52,bert-base
921,921,negative,0.63,roberta-base
922,922,positive,0.83,roberta-base
923,923,negative,0.64,roberta-base
924,924,positive,0.88,bert-base
925,925,positive,0.55,bert-base
926,926,neutral,0.73,bert-base
927,927,positive,0.74,bert-base
928,928,positive,0.86,distilbert
929,929,negative,0.79,bert-base
930,930,negative,0.73,distilbert
931,931,neutral,0.71,distilbert
932,932,negative,0.89,bert-base
933,933,negative,0.93,distilbert
934,934,neutral,0.85,bert-base
935,935,negative,0.96,bert-base
936,936,neutral,0.72,distilbert
937,937,negative,0.86,bert-base
938,938,neutral,0.92,roberta-base
939,939,negative,0.81,roberta-base
940,940,neutral,0.69,roberta-base
941,941,neutral,0.51,bert-base
942,942,negative,0.77,distilbert
943,943,positive,0.66,roberta-base
944,944,neutral,0.55,distilbert
945,945,neutral,0.53,bert-base
946,946,negative,0.64,roberta-base
947,947,positive,0.78,distilbert
948,948,positive,0.76,distilbert
949,949,positive,0.96,distilbert
950,950,neutral,0.54,roberta-base
951,951,positive,0.83,bert-base
952,952,negative,0.8,bert-base
953,953,neutral,0.51,bert-base
954,954,neutral,0.96,distilbert
955,955,neutral,0.53,roberta-base
956,956,positive,0.64,bert-base
957,957,negative,0.74,roberta-base
958,958,positive,0.81,distilbert
959,959,positive,0.75,distilbert
960,960,negative,0.81,bert-base
961,961,neutral,0.52,bert-base
962,962,negative,0.51,roberta-base
963,963,negative,0.84,bert-base
964,964,negative,0.64,distilbert
965,965,neutral,0.55,bert-base
966,966,positive,0.82,distilbert
967,967,positive,0.69,bert-base
968,968,negative,0.64,bert-base
969,969,positive,0.57,bert-base
970,970,positive,0.51,roberta-base
971,971,neutral,0.73,bert-base
972,972,neutral,0.57,roberta-base
973,973,neutral,0.97,roberta-base
974,974,negative,0.82,distilbert
975,975,negative,0.72,distilbert
976,976,negative,0.83,roberta-base
977,977,negative,0.96,distilbert
978,978,positive,0.65,bert-base
979,979,positive,0.58,bert-base
980,980,positive,0.87,bert-base
981,981,neutral,0.96,distilbert
982,982,neutral,0.64,bert-base
983,983,neutral,0.66,bert-base
984,984,positive,0.66,bert-base
985,985,neutral,0.66,distilbert
986,986,negative,0.54,distilbert
987,987,negative,0.89,bert-base
988,988,neutral,0.89,bert-base
989,989,positive,0.85,roberta-base
990,990,neutral,0.59,bert-base
991,991,neutral,0.81,distilbert
992,992,positive,0.53,bert-base
993,993,negative,0.88,roberta-base
994,994,negative,0.99,bert-base
995,995,positive,0.86,roberta-base
996,996,positive,0.57,bert-base
997,997,neutral,0.61,roberta-base
998,998,negative,0.64,bert-base
999,999,positive,0.79,distilbert
1000,1000,positive,0.96,distilbert
